Unnamed: 0,Questions,Correct,A,B,C,D
1233,"The word algorism, which comes from the name of Persian mathematician al-Khwarizmi, refers to which of these?
",The rules of performing arithmetic using the decimal system for representing numbers,A binary numeral system where two successive values differ in only one digit,None of these,The rules of performing arithmetic using the decimal system for representing numbers,A numeral system that uses the digits 0 to 7
1408,"The largest semilunar cartilages, also called the menisci, are located in this part of the body.
",Knee,Knee,Jaw,Shoulder,Hip
3465,"Which European city is a sister city of Ashtabula?
","Bardejov, Slovakia","Mexicali, Mexico","Berlin, Germany","Bardejov, Slovakia","Chernobyl, Ukraine until the nuclear meltdown of 1986"
632,"Where in the USA would you find the Circus Hall of Fame?
","Sarasota, Florida","Saratoga, NY","Augusta, GA","Sarasota, Florida","Mobile, Alabama"
1078,"Which of these statements is true about Michelangelo?
",He lived in poverty.,He lived an extravagant life.,He enjoyed eating and drinking most of all.,He lived in poverty.,None of these
1550,"During the 1945 siege of Berlin by Russian forces, rumors spread among the German refugees in the Berlin Underground, that Russian T-34 tanks had entered the Underground.
",True,True,False,,
1167,"In the M*A*S*H TV series, B.J.s initials were short for what first name?
",,Bobby Jack,Barry Johnson,Billy Joe,
1539,"In the Petticoat Junction sitcom, which of the girls played a tomboy role?
",Betty Jo,Betty Jo,Beverly Jo,Bobbie Jo,Billie Jo
2823,"Who was/were the first passenger/s on a hot air balloon?
",all of these,s rooster,all of these,a duck,sheep
251,"What character did Robin Williams portray in the 1991 movie Hook?
",Peter Pan,Tootles,Jack Banning,Peter Pan,Captain Hook
1879,"What actor uttered the phrase Carpe diem. Seize the day, boys. Make your lives extraordinary in the 1989 movie Dead Poets Society?
",Robin Williams,Tom Hanks,Tim Robbins,Ethan Hawke,Robin Williams
2273,"No bullet can stop us now, we neither beg nor we wont bow;
",ither can be bought nor sold., all defend the right; jah - jah children must unite:,ur life is worth ...,much more than gold,much more than gold
580,"The novel Wizard and Glass picks up where Dark Tower III: The Waste Lands left off.
",True,True,False,,
1445,"Who does Jett, George Lucas son, play in Episode III:  Revenge of the Sith?
",Zett Jukassa,a clone trooper,General Grievous,Nute Gunray,Zett Jukassa
109,"Which of these was not one of Aquamans amazing powers?
",Having complete control over water,Communicating with all forms of sea life.,Breathing under water,Having complete control over water,Super High Speed Swimming
1028,"Ice caves are large caverns filled with ice. The Dachstein Giant Ice Cave is located in which country?
",Austria,Norway,Austria,Switzerland,Germany
546,"The White House rejected Louisiana governor Kathleen Blancos request to declare an emergency before Hurricane Katrina had struck.
",False,True,False,,
2444,"Amerigo Vespucci died on February 22, 1512 on the newly discovered continent of South America.
",False,True,False,,
332,"What boss must be fought in the last quest in Act III of the computer game Diablo II?
",Mephisto,Andariel,Diablo,Baal,Mephisto
2653,"What was the name of Paula Abduls first album?
",Forever Your Girl,Shut Up and Dance,You Are My Love,Straight Up,Forever Your Girl
4167,"What nickname has been given to the U.S. state of Georgia?
",The Peach State,The Peach State,The Cotton State,The Sunflower State,All of these
658,"Which Arquette sibling is the oldest?
",Rosanna,Rosanna,Richmond,David,Patricia
495,"In the Peanuts comic strip, how much does Lucy charge for psychiatric help at her booth?
",5 cents,$5,5 cents,$1,50 cents
3324,"The eternal flame burning in a shrine for this legendary musician inspired the power ballad Eternal Flame by The Bangles.
",Elvis,John Lennon,Janis Joplin,Jimi Hendrix,Elvis
1244,"The most populous country in the world is in this continent.
",Asia,North America,Africa,South America,Asia
4001,"The Rivingtons brought  us which of these crazy songs?
",Papa-Oom-Mow-Mow,The Mistake,Gobber Peas,Papa-Oom-Mow-Mow,Dinner with Drac
2210,"After Senator Kelly is elected president in the X-Men series, what is his first act in office?
",A Full Pardon of Dr. Hank McCoy,Enforcing the Mutant Registration Act,A Full Pardon of Dr. Hank McCoy,Ordering Mass Production of Sentinels,Ordering an invasion of the X-Mansion
4619,"The Twelve Days of Christmas is the period from Christmas day to January 6. Which festival takes place on the last day of this period?
",Epiphany,Christmas Eve,St. Stephen’s Day,Epiphany,Boxing Day
520,"Which artist sang the Oscar-winning theme song of the 1972 movie The Poseidon Adventure?
",Maureen McGovern,Maureen McGovern,Suzie Quatro,Melissa Manchester,Yvonne Ellman
2891,"In 1931citizens of Tenino, Washington agreed to use wooden coins.
",True,True,False,,
1287,"Haydns Farewell Symphony was designed as a protest piece over the way musicians were being treated.
",True,False,True,,
728,"When was Hank Williams, Jr. born?
","May 26, 1949","April 26, 1949","April 3, 1950","May 26, 1949","May 3, 1950"
1048,"It is a widespread myth that vegetarians cannot provide this to their body, because it could only be supplied from meat. However, it is found in soy, beans, nuts, milk, cheese, eggs, etc.
",Protein,Calories,Vitamins,Minerals,Protein
774,"What were the names of  the two songs on the record Elvis recorded for his mom?
",My Happiness and Thats When Your Heartache Begins,Careless Love and Thats When Your Heartache Begins,My Happiness and Careless Love,My Happiness and Thats When Your Heartache Begins,Mystery Train and Thats Alright Mama
